datetime,action,direction,futures_lots,etf_shares,etf_price,tl_price,spread,zscore,tc,pnl_futures,pnl_etf,total_pnl,cum_pnl
2025-09-26 13:12:00,open,long_spread,-8,83942,117.6,113.945,-5.795625429510494,-1.5165831120706228,517.57896,,,,
2025-09-29 10:39:00,close,,8,-83942,117.697,113.945,-5.698625429510486,,1035.9721574,-0.0,8142.3740000007065,7106.401842600706,7106.401842600706
2025-09-30 11:06:00,open,long_spread,-8,83962,117.066,113.455,-5.798984712844913,-1.600471071590193,515.4547746000001,,,,
2025-10-10 11:05:00,close,,8,-83962,117.675,114.125,-5.91555467236725,,1036.022835,-53600.00000000014,51132.85799999955,-3503.164835000589,3603.237007600117
2025-10-10 13:13:00,open,long_spread,-8,84136,117.453,114.065,-6.072578258081663,-1.5459246080368956,518.1012804000001,,,,
2025-10-13 09:39:00,close,,8,-84136,117.942,114.395,-5.940948536652371,,1040.3168112,-26399.99999999986,41142.50399999917,13702.18718879931,17305.42419639943
2025-10-15 14:55:00,open,long_spread,-8,84136,117.803,114.405,-6.090777939033302,-1.8375395954329854,519.5736604000001,,,,
2025-10-16 09:30:00,close,,8,-84136,117.945,114.435,-5.981266146176097,,1040.342052,-2400.000000000091,11947.311999999656,8506.969947999565,25812.394144398993
2025-10-16 09:44:00,open,long_spread,-8,84116,117.964,114.535,-6.070560169985384,-1.533071944880707,520.1329912,,,,
2025-10-17 09:51:00,close,,8,-84116,118.737,115.215,-6.033959531888655,,1046.7681492,-54400.000000000546,65021.66799999968,9574.899850799133,35387.293995198124
2025-10-20 09:49:00,open,short_spread,8,-83942,118.901,115.205,-5.859130129507719,1.5337397366803294,523.0393871000001,,,,
2025-10-20 10:27:00,close,,-8,83942,118.94,115.335,-5.960912360459815,,1046.406148,10399.999999999636,-3273.738000000124,6079.855851999512,41467.14984719764
2025-10-20 10:59:00,open,short_spread,8,-83931,118.916,115.205,-5.844130129507718,1.6138840365380562,523.0369398,,,,
2025-10-20 13:09:00,close,,-8,83931,118.787,115.185,-5.951471324745853,,1044.9911697000002,-1599.9999999996817,10827.098999999218,8182.107830299536,49649.257677497175
2025-10-20 14:05:00,open,short_spread,8,-83938,118.885,115.185,-5.853471324745854,1.511740348045251,522.9484565,,,,
2025-10-20 14:54:00,close,,-8,83938,118.835,115.225,-5.946788934269577,,1045.4772229999999,3199.9999999993634,4196.900000000955,6351.422777000318,56000.680454497495
