number,value,datetime_start,datetime_complete,duration,params_entry_z,params_exit_z,params_max_trade_loss,params_ou_window,params_update_freq,state
0,-7.032425985000879,2026-05-14 14:35:31.487306,2026-05-14 14:35:31.489987,0 days 00:00:00.002681,1.5,1.4,0.4,1600,240,COMPLETE
1,-4.341770919169822,2026-05-14 14:35:31.490270,2026-05-14 14:35:31.491143,0 days 00:00:00.000873,0.75,0.1,1.6,1800,240,COMPLETE
2,-4.048799305320864,2026-05-14 14:35:31.491358,2026-05-14 14:35:31.492172,0 days 00:00:00.000814,0.5,0.4,0.4,1700,120,COMPLETE
3,-3.3103013488762523,2026-05-14 14:35:31.492353,2026-05-14 14:35:31.493183,0 days 00:00:00.000830,1.0,0.30000000000000004,0.6000000000000001,1200,180,COMPLETE
4,-3.661625638384634,2026-05-14 14:35:31.493416,2026-05-14 14:35:31.493995,0 days 00:00:00.000579,2.0,0.30000000000000004,1.0,800,180,COMPLETE
5,-2.696010747921866,2026-05-14 14:35:31.494189,2026-05-14 14:35:31.494783,0 days 00:00:00.000594,2.5,0.30000000000000004,0.2,1200,240,COMPLETE
6,-3.9049716515567083,2026-05-14 14:35:31.495490,2026-05-14 14:35:31.495945,0 days 00:00:00.000455,2.0,0.30000000000000004,2.0,400,360,COMPLETE
7,-6.44413254183074,2026-05-14 14:35:31.496133,2026-05-14 14:35:31.496579,0 days 00:00:00.000446,2.5,0.5,1.0,400,270,COMPLETE
8,-3.7966853891228745,2026-05-14 14:35:31.496765,2026-05-14 14:35:31.497218,0 days 00:00:00.000453,0.75,0.30000000000000004,0.6000000000000001,300,360,COMPLETE
9,-2.5500375945136233,2026-05-14 14:35:31.497400,2026-05-14 14:35:31.497938,0 days 00:00:00.000538,2.25,0.5,0.4,1200,240,COMPLETE
10,-5.666422037618559,2026-05-14 14:35:31.498122,2026-05-14 14:35:31.551713,0 days 00:00:00.053591,3.0,0.9,1.4000000000000001,900,60,COMPLETE
11,-2.995668390846675,2026-05-14 14:35:31.551963,2026-05-14 14:35:31.555227,0 days 00:00:00.003264,2.5,0.8,0.2,1200,300,COMPLETE
12,-4.046595438953179,2026-05-14 14:35:31.555426,2026-05-14 14:35:31.558733,0 days 00:00:00.003307,2.75,0.7000000000000001,0.2,1400,300,COMPLETE
13,-1.8267188936547387,2026-05-14 14:35:31.558947,2026-05-14 14:35:31.563211,0 days 00:00:00.004264,2.25,1.1,0.8,2000,180,COMPLETE
14,-4.291092673362508,2026-05-14 14:35:31.563553,2026-05-14 14:35:31.567570,0 days 00:00:00.004017,1.5,1.1,0.8,2000,150,COMPLETE
15,-4.071585853623592,2026-05-14 14:35:31.567804,2026-05-14 14:35:31.572378,0 days 00:00:00.004574,2.0,1.2000000000000002,1.4000000000000001,2000,90,COMPLETE
16,-5.4973701707719975,2026-05-14 14:35:31.572603,2026-05-14 14:35:31.576089,0 days 00:00:00.003486,2.25,1.5,0.8,800,180,COMPLETE
17,-3.9575450000570953,2026-05-14 14:35:31.576308,2026-05-14 14:35:31.579726,0 days 00:00:00.003418,1.5,0.6,0.6000000000000001,1400,210,COMPLETE
18,-5.029365675909725,2026-05-14 14:35:31.579930,2026-05-14 14:35:31.584817,0 days 00:00:00.004887,3.0,1.0,1.2,600,120,COMPLETE
19,-3.9148316841914585,2026-05-14 14:35:31.585093,2026-05-14 14:35:31.588559,0 days 00:00:00.003466,1.75,1.3000000000000003,0.8,1500,300,COMPLETE
20,-0.9472846645169146,2026-05-14 14:35:31.588817,2026-05-14 14:35:31.592996,0 days 00:00:00.004179,2.25,0.8,1.2,1800,210,COMPLETE
21,-0.9472846645169146,2026-05-14 14:35:31.593218,2026-05-14 14:35:31.596714,0 days 00:00:00.003496,2.25,0.8,1.2,1800,210,COMPLETE
22,0.1629123402030341,2026-05-14 14:35:31.596960,2026-05-14 14:35:31.601238,0 days 00:00:00.004278,2.25,1.0,1.2,1800,210,COMPLETE
23,-1.8305632501053593,2026-05-14 14:35:31.601482,2026-05-14 14:35:31.604945,0 days 00:00:00.003463,2.75,0.8,1.6,1800,210,COMPLETE
24,-3.6546998301348834,2026-05-14 14:35:31.605155,2026-05-14 14:35:31.608748,0 days 00:00:00.003593,1.75,0.9,1.2,1800,210,COMPLETE
25,-4.064853774361629,2026-05-14 14:35:31.608973,2026-05-14 14:35:31.612497,0 days 00:00:00.003524,2.75,0.7000000000000001,1.4000000000000001,1600,150,COMPLETE
26,-3.17994061160543,2026-05-14 14:35:31.612686,2026-05-14 14:35:31.617542,0 days 00:00:00.004856,2.25,0.9,1.8,1900,270,COMPLETE
27,-2.9742068871168295,2026-05-14 14:35:31.617789,2026-05-14 14:35:31.621348,0 days 00:00:00.003559,2.0,1.1,1.2,1400,150,COMPLETE
28,-3.7746136549492886,2026-05-14 14:35:31.621552,2026-05-14 14:35:31.625311,0 days 00:00:00.003759,1.25,0.7000000000000001,1.6,1600,270,COMPLETE
29,-4.1235645743480696,2026-05-14 14:35:31.625538,2026-05-14 14:35:31.629146,0 days 00:00:00.003608,2.5,1.3000000000000003,1.0,1600,210,COMPLETE
30,-3.313304897896326,2026-05-14 14:35:31.629432,2026-05-14 14:35:31.634109,0 days 00:00:00.004677,1.75,1.0,1.4000000000000001,1000,330,COMPLETE
31,-2.5809757416016446,2026-05-14 14:35:31.634361,2026-05-14 14:35:31.638110,0 days 00:00:00.003749,2.25,1.1,1.2,1900,180,COMPLETE
32,0.8207341048147808,2026-05-14 14:35:31.638337,2026-05-14 14:35:31.642102,0 days 00:00:00.003765,2.25,1.0,1.0,2000,240,COMPLETE
33,-1.0129277644854722,2026-05-14 14:35:31.642337,2026-05-14 14:35:31.648591,0 days 00:00:00.006254,2.0,1.0,1.0,1800,240,COMPLETE
34,-1.1253964926380224,2026-05-14 14:35:31.649144,2026-05-14 14:35:31.653716,0 days 00:00:00.004572,2.5,0.8,1.2,1700,240,COMPLETE
35,-0.9851376087963201,2026-05-14 14:35:31.653974,2026-05-14 14:35:31.657936,0 days 00:00:00.003962,2.75,0.1,1.0,1900,270,COMPLETE
